Code,Name,Market,Type
1102,亞泥,TWSE,Stock
1103,嘉泥,TWSE,Stock
1104,環泥,TWSE,Stock
1108,幸福,TWSE,Stock
1109,信大,TWSE,Stock
1110,東泥,TWSE,Stock
1201,味全,TWSE,Stock
1203,味王,TWSE,Stock
1210,大成,TWSE,Stock
1213,大飲,TWSE,Stock
1215,卜蜂,TWSE,Stock
1216,統一,TWSE,Stock
1217,愛之味,TWSE,Stock
1218,泰山,TWSE,Stock
1219,福壽,TWSE,Stock
1220,台榮,TWSE,Stock
1225,福懋油,TWSE,Stock
1227,佳格,TWSE,Stock
1229,聯華,TWSE,Stock
1231,聯華食,TWSE,Stock
1232,大統益,TWSE,Stock
1233,天仁,TWSE,Stock
1234,黑松,TWSE,Stock
1235,興泰,TWSE,Stock
1236,宏亞,TWSE,Stock
1256,鮮活果汁-KY,TWSE,Stock
1301,台塑,TWSE,Stock
1303,南亞,TWSE,Stock
1304,台聚,TWSE,Stock
1305,華夏,TWSE,Stock
1307,三芳,TWSE,Stock
1308,亞聚,TWSE,Stock
1309,台達化,TWSE,Stock
1310,台苯,TWSE,Stock
1312,國喬,TWSE,Stock
1312A,國喬特,TWSE,ETF
1313,聯成,TWSE,Stock
1314,中石化,TWSE,Stock
1315,達新,TWSE,Stock
1316,上曜,TWSE,Stock
1319,東陽,TWSE,Stock
1321,大洋,TWSE,Stock
1323,永裕,TWSE,Stock
1324,地球,TWSE,Stock
1325,恆大,TWSE,Stock
1326,台化,TWSE,Stock
1337,再生-KY,TWSE,Stock
1338,廣華-KY,TWSE,Stock
1339,昭輝,TWSE,Stock
1340,勝悅-KY,TWSE,Stock
1341,富林-KY,TWSE,Stock
1342,八貫,TWSE,Stock
1402,遠東新,TWSE,Stock
1409,新纖,TWSE,Stock
1410,南染,TWSE,Stock
1413,宏洲,TWSE,Stock
1414,東和,TWSE,Stock
1416,廣豐,TWSE,Stock
1417,嘉裕,TWSE,Stock
1418,東華,TWSE,Stock
1419,新紡,TWSE,Stock
1423,利華,TWSE,Stock
1432,大魯閣,TWSE,Stock
1434,福懋,TWSE,Stock
1435,中福,TWSE,Stock
1436,華友聯,TWSE,Stock
1437,勤益控,TWSE,Stock
1438,三地開發,TWSE,Stock
1439,雋揚,TWSE,Stock
1440,南紡,TWSE,Stock
1441,大東,TWSE,Stock
1442,名軒,TWSE,Stock
1443,立益物流,TWSE,Stock
1444,力麗,TWSE,Stock
1445,大宇,TWSE,Stock
1446,宏和,TWSE,Stock
1447,力鵬,TWSE,Stock
1449,佳和,TWSE,Stock
1451,年興,TWSE,Stock
1452,宏益,TWSE,Stock
1453,大將,TWSE,Stock
1454,台富,TWSE,Stock
1455,集盛,TWSE,Stock
1456,怡華,TWSE,Stock
1457,宜進,TWSE,Stock
1459,聯發,TWSE,Stock
1460,宏遠,TWSE,Stock
1463,強盛新,TWSE,Stock
1464,得力,TWSE,Stock
1465,偉全,TWSE,Stock
1466,聚隆,TWSE,Stock
1467,南緯,TWSE,Stock
1468,昶和,TWSE,Stock
1470,大統新創,TWSE,Stock
1471,首利,TWSE,Stock
1472,三洋實業,TWSE,Stock
1473,台南,TWSE,Stock
1474,弘裕,TWSE,Stock
1475,業旺,TWSE,Stock
1476,儒鴻,TWSE,Stock
1477,聚陽,TWSE,Stock
1503,士電,TWSE,Stock
1504,東元,TWSE,Stock
1506,正道,TWSE,Stock
1512,瑞利,TWSE,Stock
1513,中興電,TWSE,Stock
1514,亞力,TWSE,Stock
1515,力山,TWSE,Stock
1516,川飛,TWSE,Stock
1517,利奇,TWSE,Stock
1519,華城,TWSE,Stock
1521,大億,TWSE,Stock
1522,堤維西,TWSE,Stock
1522A,堤維西甲特,TWSE,ETF
1524,耿鼎,TWSE,Stock
1525,江申,TWSE,Stock
1526,日馳,TWSE,Stock
1527,鑽全,TWSE,Stock
1528,恩德,TWSE,Stock
1529,樂事綠能,TWSE,Stock
1530,亞崴,TWSE,Stock
1531,高林股,TWSE,Stock
1532,勤美,TWSE,Stock
1533,車王電,TWSE,Stock
1535,中宇,TWSE,Stock
1536,和大,TWSE,Stock
1537,廣隆,TWSE,Stock
1538,正峰,TWSE,Stock
1539,巨庭,TWSE,Stock
1540,喬福,TWSE,Stock
1541,錩泰,TWSE,Stock
1558,伸興,TWSE,Stock
1560,中砂,TWSE,Stock
1563,巧新,TWSE,Stock
1568,倉佑,TWSE,Stock
1582,信錦,TWSE,Stock
1583,程泰,TWSE,Stock
1587,吉茂,TWSE,Stock
1590,亞德客-KY,TWSE,Stock
1597,直得,TWSE,Stock
1598,岱宇,TWSE,Stock
1603,華電,TWSE,Stock
1604,聲寶,TWSE,Stock
1605,華新,TWSE,Stock
1608,華榮,TWSE,Stock
1609,大亞,TWSE,Stock
1611,中電,TWSE,Stock
1612,宏泰,TWSE,Stock
1614,三洋電,TWSE,Stock
1615,大山,TWSE,Stock
1616,億泰,TWSE,Stock
1617,榮星,TWSE,Stock
1618,合機,TWSE,Stock
1623,大東電,TWSE,Stock
1626,艾美特-KY,TWSE,Stock
1702,南僑,TWSE,Stock
1707,葡萄王,TWSE,Stock
1708,東鹼,TWSE,Stock
1709,和益,TWSE,Stock
1710,東聯,TWSE,Stock
1711,永光,TWSE,Stock
1712,興農,TWSE,Stock
1713,國化,TWSE,Stock
1714,和桐,TWSE,Stock
1717,長興,TWSE,Stock
1718,中纖,TWSE,Stock
1720,生達,TWSE,Stock
1721,三晃,TWSE,Stock
1722,台肥,TWSE,Stock
1723,中碳,TWSE,Stock
1725,元禎,TWSE,Stock
1726,永記,TWSE,Stock
1727,中華化,TWSE,Stock
1730,花仙子,TWSE,Stock
1731,美吾華,TWSE,Stock
1732,毛寶,TWSE,Stock
1733,五鼎,TWSE,Stock
1734,杏輝,TWSE,Stock
1735,日勝化,TWSE,Stock
1736,喬山,TWSE,Stock
1737,臺鹽,TWSE,Stock
1752,南光,TWSE,Stock
1760,寶齡富錦,TWSE,Stock
1762,中化生,TWSE,Stock
1773,勝一,TWSE,Stock
1776,展宇,TWSE,Stock
1783,和康生,TWSE,Stock
1786,科妍,TWSE,Stock
1789,神隆,TWSE,Stock
1795,美時,TWSE,Stock
1802,台玻,TWSE,Stock
1805,寶徠,TWSE,Stock
1806,冠軍,TWSE,Stock
1808,潤隆,TWSE,Stock
1809,中釉,TWSE,Stock
1810,和成,TWSE,Stock
1817,凱撒衛,TWSE,Stock
1903,士紙,TWSE,Stock
1904,正隆,TWSE,Stock
1905,華紙,TWSE,Stock
1906,寶隆,TWSE,Stock
1907,永豐餘,TWSE,Stock
1909,榮成,TWSE,Stock
